Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_010404	SB-203580	p38 MAPK inhibitor	AKT1|ALOX5|CHEK1|CYP2D6|CYP3A4|GAK|GSK3B|LCK|MAPK1|MAPK10|MAPK11|MAPK12|MAPK14|MAPK8|MAPK9|PRKCA|RAF1|RIPK2|ROCK1|RPS6KB1|SGK1|SRC|TNF
JCP2022_010422	GDC-0834	Bruton's tyrosine kinase (BTK) inhibitor	BTK
JCP2022_010426	LDN193189	bone morphogenic protein inhibitor	ACVR1|BMPR1A
JCP2022_010454	piceatannol	SYK inhibitor	ATP5A1|ATP5B|ATP5C1|IRF3
JCP2022_010527	relcovaptan	vasopressin receptor antagonist	AVPR1A|AVPR1B|AVPR2|OXTR
JCP2022_010566	serdemetan	MDM inhibitor	MDM2
JCP2022_010573	PNU-120596	acetylcholine receptor agonist	CHRNA7
JCP2022_010597	oxprenolol	adrenergic receptor antagonist	ADRB1
JCP2022_010643	methyclothiazide	chloride reabsorption inhibitor	SLC12A1|SLC12A3
JCP2022_010654	aripiprazole	serotonin receptor agonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7
JCP2022_010699	cilomilast	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4D
JCP2022_010774	carbetapentane	acetylcholine receptor antagonist	CHRM2
JCP2022_010814	carbimazole	antithyroid agent	TPO
JCP2022_010900	GSK2126458	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG
JCP2022_010922	telcagepant	calcitonin antagonist	CALCRL|RAMP1
JCP2022_010954	indomethacin	cyclooxygenase inhibitor	GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1
JCP2022_011141	IKK-2-inhibitor-V	IKK inhibitor|NFkB pathway inhibitor	IKBKB
JCP2022_011176	epalrestat	aldose reductase inhibitor	AKR1B1
JCP2022_011212	HTH-01-015	protein kinase inhibitor	NUAK1
JCP2022_011375	capadenoson	adenosine receptor agonist	ADORA1
JCP2022_011436	darunavir	HIV protease inhibitor	CYP3A4
JCP2022_011454	methyldopa	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C|DDC
JCP2022_011517	K02288	bone morphogenic protein inhibitor	BMP1
JCP2022_011542	fluvoxamine	selective serotonin reuptake inhibitor (SSRI)	SLC6A4
JCP2022_011704	VU0238429	acetylcholine receptor allosteric modulator	CHRM5
JCP2022_011705	L-aspartic-acid	metallic radical formation stimulant	ACY1|ACY3|ADSS|ADSSL1|ASNS|ASPA|ASPH|ASRGL1|ASS1|CAD|DARS|DARS2|GOT1|GOT2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|LYZ|PAICS|RNASE1|SLC1A1|SLC25A12|SLC25A13
JCP2022_011718	oltipraz	nuclear factor erythroid derived|like (NRF2) activator	ANG
JCP2022_011759	torcitabine	DNA polymerase inhibitor	DCK|TK2
JCP2022_011862	CZC-54252	leucine rich repeat kinase inhibitor	LRRK2
JCP2022_011917	clonixin	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_011918	fadrozole	aromatase inhibitor	CYP11B1|CYP19A1
JCP2022_011946	CGM097	MDM inhibitor	MDM2
